instrument,sector_id,sector
INS00,1,FINL
INS01,2,TECH
INS02,4,INDUS
INS03,3,HEALTH
INS04,4,INDUS
INS05,1,FINL
INS06,2,TECH
INS07,2,TECH
INS08,1,FINL
INS09,3,HEALTH
INS10,0,ENERGY
INS11,1,FINL
INS12,4,INDUS
INS13,5,CONSUM
INS14,0,ENERGY
INS15,4,INDUS
INS16,2,TECH
INS17,5,CONSUM
INS18,3,HEALTH
INS19,2,TECH
INS20,4,INDUS
INS21,4,INDUS
INS22,4,INDUS
INS23,0,ENERGY
INS24,2,TECH
INS25,0,ENERGY
INS26,5,CONSUM
INS27,1,FINL
INS28,3,HEALTH
INS29,0,ENERGY
INS30,2,TECH
INS31,5,CONSUM
INS32,5,CONSUM
INS33,1,FINL
INS34,2,TECH
INS35,0,ENERGY
INS36,4,INDUS
INS37,3,HEALTH
INS38,2,TECH
INS39,3,HEALTH
INS40,1,FINL
INS41,0,ENERGY
INS42,0,ENERGY
INS43,3,HEALTH
INS44,3,HEALTH
INS45,1,FINL
INS46,4,INDUS
INS47,0,ENERGY
INS48,3,HEALTH
INS49,1,FINL
