INS00,INS01,INS02,INS03,INS04,INS05,INS06,INS07,INS08,INS09,INS10,INS11,INS12,INS13,INS14,INS15,INS16,INS17,INS18,INS19,INS20,INS21,INS22,INS23,INS24,INS25,INS26,INS27,INS28,INS29,INS30,INS31,INS32,INS33,INS34,INS35,INS36,INS37,INS38,INS39,INS40,INS41,INS42,INS43,INS44,INS45,INS46,INS47,INS48,INS49
36.3671,171.1996,71.8207,96.9294,190.8398,147.3546,93.6794,139.5544,39.5254,153.7913,159.6735,41.9302,176.1209,148.1037,188.8037,76.5862,171.6956,111.3154,32.9018,166.5246,40.6039,179.9133,141.4277,154.4011,129.7027,189.5831,81.7437,144.2925,45.0481,32.5619,130.235,98.802,187.4039,135.1482,159.1146,169.4647,85.4004,174.1771,104.8576,104.9735,81.9513,77.4828,35.542,171.2802,138.6032,116.4476,131.126,121.7005,123.2981,54.2751
37.0234,175.5855,73.7725,98.9033,196.2957,151.3316,96.9019,139.9621,41.6668,157.6265,160.0785,43.143,179.84,152.6131,193.5042,76.9939,174.9843,113.1075,33.8139,169.2866,41.4742,183.936,147.0338,158.8353,133.5551,191.8023,83.5506,148.9352,46.842,32.5071,133.7444,104.5968,186.6986,139.2211,162.0403,169.696,84.5284,182.298,107.0996,107.4268,83.8407,80.1683,35.3245,170.3275,139.7522,118.6019,132.4391,123.6168,129.0523,55.5518
36.4898,171.9016,72.9781,96.6848,193.6773,149.8805,93.4858,142.3106,41.8575,151.1755,157.7154,41.5556,174.1973,151.2686,189.0933,75.379,171.9315,111.0077,33.5029,168.797,40.8719,181.7399,142.4559,155.4115,131.7504,187.9899,82.2381,143.7938,45.9343,31.6026,128.9266,101.2475,180.7839,136.1612,162.421,166.0766,81.4974,176.8353,106.0501,104.8179,79.9972,77.8968,34.1204,166.0559,136.9674,113.8404,129.3349,118.024,125.5226,55.1041
36.3754,170.2093,71.2324,95.5976,188.7876,148.1866,91.0106,138.5449,41.2115,148.496,157.4214,40.9125,172.6533,148.2065,187.3618,75.1393,172.2857,109.7046,33.2705,167.112,40.3079,181.5191,141.3303,154.2833,130.0343,187.0342,81.0063,142.4239,45.6094,31.4887,126.8855,99.9098,173.2641,135.5885,160.6794,167.1311,80.9862,169.5049,105.3803,103.0385,80.9744,78.657,33.4562,164.3116,135.7563,113.6949,128.9481,118.0092,123.8101,54.5853
36.492,170.5007,71.5474,94.97,187.2876,145.8998,89.0405,140.6198,40.3451,150.4009,156.6469,41.4496,173.1134,146.19,187.1446,75.4671,174.6235,108.9045,33.1332,163.8105,40.1836,181.0583,141.0376,153.8642,132.8311,186.1225,81.8601,143.3587,45.458,31.8231,124.7835,101.6211,181.248,135.4726,161.3983,166.5049,79.9914,173.8608,105.1293,104.2324,80.7311,78.5796,32.7275,167.9168,139.4613,114.1093,130.2601,117.8938,125.1851,54.7869
36.9332,170.9817,71.5339,95.0424,190.1796,147.0133,89.2945,136.4461,39.0558,150.0132,156.8949,41.1139,178.5976,148.901,186.6887,76.0917,173.3883,109.156,33.08,164.1888,40.6306,180.177,142.148,153.467,132.2856,183.7787,81.6354,143.0098,45.5205,32.0552,125.3324,103.3804,189.7412,135.6552,162.8008,168.9052,79.9206,173.3463,105.6112,104.0139,81.16,77.5788,34.6931,167.5663,138.4999,113.1241,131.3849,116.2301,125.9884,54.709
36.6585,168.39,70.8403,94.1675,188.7772,144.736,90.4757,135.2306,37.8433,149.342,154.8474,41.1281,172.0484,148.2836,185.6767,75.3467,167.7542,109.9973,32.167,162.1701,39.5652,174.752,138.0992,144.2878,130.3072,184.4788,80.4233,142.5879,45.4491,31.6068,124.9132,104.0698,194.6033,133.8995,160.7423,168.0761,79.7974,173.4562,105.0861,102.7556,82.5018,76.19,35.0272,166.3484,134.7412,112.978,128.5108,115.3887,124.1624,54.2426
36.7962,170.0521,72.0652,96.2212,184.7568,145.2844,90.8331,138.9309,37.6224,151.0065,154.8648,41.0495,172.14,147.604,187.3818,74.438,171.8802,110.4443,32.757,165.4273,39.8,172.6272,139.0962,149.764,131.1827,185.1234,81.2667,143.9859,45.1821,31.6754,123.4024,104.244,197.8326,135.7715,162.8129,166.4604,77.772,177.2764,105.8074,104.9646,82.2428,76.3785,36.0334,168.9161,136.915,112.9848,129.4145,115.1412,125.2912,54.4374
36.8539,168.8592,70.874,98.1134,178.0731,145.6935,89.1856,138.9825,37.5204,153.0102,155.527,40.8717,171.2919,149.2402,187.7613,74.364,174.895,110.0895,32.4731,164.4084,39.4803,173.1571,137.0278,147.353,134.6,184.6551,81.7605,142.0966,45.523,31.4574,121.2828,107.1094,193.3919,133.9653,164.7479,166.0682,76.6427,177.8074,104.2455,106.0608,82.6887,75.1837,35.9045,170.9821,136.9641,113.6447,129.0678,115.5407,126.9755,54.4289
36.8876,167.6072,70.1075,99.1877,169.0767,145.6014,87.8542,138.4091,37.5879,153.017,153.3061,41.1332,172.2586,148.8631,187.0656,74.2334,170.8012,110.3394,32.4825,162.038,38.6265,169.9415,134.1696,144.8175,132.252,183.5138,80.8802,141.6606,45.17,30.9154,119.6375,104.3731,191.648,135.6917,160.8812,165.4007,74.37,181.5247,103.3709,105.0737,82.4568,74.7401,34.8906,172.28,136.4199,113.2364,127.6252,111.7973,126.4926,55.205
