INS00,INS01,INS02,INS03,INS04,INS05,INS06,INS07,INS08,INS09,INS10,INS11,INS12,INS13,INS14,INS15,INS16,INS17,INS18,INS19,INS20,INS21,INS22,INS23,INS24,INS25,INS26,INS27,INS28,INS29,INS30,INS31,INS32,INS33,INS34,INS35,INS36,INS37,INS38,INS39,INS40,INS41,INS42,INS43,INS44,INS45,INS46,INS47,INS48,INS49
1495720,453451,2529170,2305739,911943,259142,774082,121565,1126264,1292643,1636928,515684,924415,327433,2440390,1591452,122926,447829,287993,960129,239448,1321590,292003,1197423,2663395,2570870,931698,338492,301833,402810,481906,615699,3364450,395088,801509,264661,526580,1551560,692850,4658150,526835,6824112,802626,717381,866453,497737,862966,895184,559439,1272824
2923755,1286138,5634280,1166396,505147,565762,2351821,112915,2335306,1781063,644770,1372278,3909786,1035964,1889497,350367,209815,962082,1566793,783336,257637,1053141,1400199,2897335,3460330,1743456,3194129,959773,1455988,364382,1094567,1807829,2484037,1063882,891390,276306,496015,3742872,1416662,9516975,1001330,3435547,1690225,505016,1981218,1368088,801150,833556,4341938,2011828
2445309,1640680,2349865,1931527,476848,424009,2435425,237613,990393,2045304,1653193,1524848,3441802,511562,1131215,2063252,268593,1885699,911768,556209,408354,806954,2617989,3154386,1506737,2113332,3272399,866513,532074,424635,1983690,1581650,12210356,717337,245842,1069187,1842852,1383009,836518,6938127,1549947,5842378,2720924,1051463,3350752,2146385,1228058,2930054,2421984,810605
938227,482234,2803287,898311,412343,253023,4133620,199363,1342624,885286,934804,1168594,1410519,3633899,1867774,337648,106552,801991,1063434,1207239,548477,254576,561274,1051576,2506144,1631067,3132243,471176,330919,422252,666367,677777,11448217,448900,698655,370885,510746,2368981,943136,5517913,535529,1597148,1959587,534838,982889,511759,1040608,406768,1278179,1012953
732045,252036,1518362,453417,395642,245255,4205032,219481,1835055,1321303,772052,366593,1427737,1008164,313498,556756,165650,1650596,857938,1699153,222769,399669,391502,1084225,1429896,1450161,1737360,840191,339127,397666,824884,759387,5207780,194684,141581,357901,825023,1704709,520616,11091831,198488,1751384,3180487,651424,4209776,651551,786233,321861,1157376,737576
1719731,513577,1160000,445036,234349,273828,1444695,372949,3466623,398621,644594,387842,1824730,1507409,407355,1061295,171013,656195,309060,361454,296261,985012,537012,1531556,505330,2059902,816923,255666,256309,373099,407352,505118,7247222,370030,684597,481680,420019,970588,721843,1722648,329190,2875964,1932249,858779,2188094,556684,951607,692634,419769,281287
1489692,732378,2325366,525834,489560,628932,1857556,197558,4110535,549800,1350636,225258,3210798,370172,865487,883500,248669,1078865,1182909,1094694,666834,1286827,2198510,3412946,2252980,2507535,3139120,604221,235479,337476,288396,904961,7764353,1116331,271321,458681,580873,473893,428624,3512506,394510,4896857,791507,387977,2470832,724358,4579841,359390,1813359,898281
1195561,617190,3599116,1831010,565053,135568,2785364,399389,1220659,637827,671594,298158,1202972,652598,1322024,1147916,292041,415682,718308,1204974,479707,948214,923472,2531527,738921,1675994,2421021,629926,383233,258053,526822,625219,9709728,511848,440934,282898,1783625,1385613,938074,5044818,312698,1361606,2749223,1684269,1758937,524597,462997,408469,751282,642604
641726,700581,3287461,2460142,826728,77657,2317291,61719,736983,740631,1457573,414714,1038464,476382,373580,562064,448580,505041,738087,742276,267313,314268,814562,4145769,5001657,1441470,1492351,858209,399050,199682,725975,1716723,8076676,347097,400516,235526,1124911,456158,652187,3541324,310968,4027742,1185556,478004,506375,644188,823239,875804,729144,580994
352591,451900,5187876,1659343,1739344,59824,3064402,174688,1493031,442446,1479004,485225,1249564,288834,525482,334893,316877,609448,387220,719984,345762,1026773,1543743,2885958,2403557,2693854,2273699,493978,736530,268393,679172,1845213,4056670,1000816,854355,319975,1735671,2533976,915533,3419409,285657,1510289,2195230,850783,1250338,583189,1733661,1778156,737397,964219
